pdbcode,resolution,year,pK,comment
3ckp,2.30,2008,6.35,(012)
3ctt,2.10,2009,6.35,(3CU)
3ed0,2.30,2009,6.35,(EMO)
3fvh,1.58,2009,6.35,(7-mer)
3rt8,2.43,2011,6.35,(CWD)
5ivv,1.85,2016,6.35,(6EN)
5lz5,2.05,2016,6.35,(7K4)
5vcz,1.50,2017,6.35,(XZN)
6cvf,2.30,2018,6.35,(CDP)
1c5q,1.43,2000,6.36,(ESI)
1ela,2.00,1994,6.36,(0Z1)
1o2o,1.63,2003,6.36,(950)
3oku,1.45,2011,6.36,(VZ4)
3t6b,2.40,2012,6.36,(5-mer)
3v2p,1.87,2013,6.36,(STE)
5ant,2.00,2016,6.36,(RJE)
5d3x,1.69,2016,6.36,(4IP)
5ucj,1.69,2018,6.36,(KU3)
5xo7,1.88,2018,6.36,(36J)
1gx8,2.40,2002,6.37,(RTL)
1hbv,2.30,1995,6.37,(GAN)
1hms,1.40,1995,6.37,(OLA)
2qpq,1.92,2007,6.37,(CIT)
2w9h,1.48,2009,6.37,(TOP)
2zdk,1.67,2008,6.37,(50U)
3qlm,2.50,2011,6.37,(PLM)
5d0r,2.24,2016,6.37,(B1T)
5vb6,2.04,2017,6.37,(927)
6u8b,1.26,2019,6.37,(Q1M)
2hkf,2.01,2007,6.38,(9-mer)
4yyt,1.07,2016,6.38,(S2O)
5nya,1.20,2018,6.38,(FB2)
5v7a,2.35,2017,6.38,(8Y7)
6equ,1.65,2017,6.38,(BVE)
4q4p,1.54,2014,6.39,(2YO)
5nze,1.69,2018,6.39,(G39)
6csq,2.03,2018,6.39,(F9P)
6gf9,2.10,2018,6.39,(X90)
6hoq,1.55,2019,6.39,(FER)
10gs,2.20,1998,6.40,(VWW)
1g7v,2.40,2001,6.40,(PAI)
1i7z,2.30,2001,6.40,(COC)
1igb,2.30,1996,6.40,(IPO)
1usk,2.00,2003,6.40,(LEU)
1yvm,1.60,2005,6.40,(TMG)
2y8c,2.10,2012,6.40,(DUQ)
2zdl,1.80,2008,6.40,(45U)
3arq,1.50,2011,6.40,(DM5)
3k1j,2.00,2010,6.40,(ADP)
3kmc,1.80,2009,6.40,(403)
3s72,1.60,2011,6.40,(EVE)
3tf6,2.35,2011,6.40,(DBH)
3zll,2.00,2013,6.40,(4WF)
4cga,1.74,2014,6.40,(QLW)
4eu0,1.70,2012,6.40,(C2E)
4je7,2.10,2014,6.40,(BB2)
4mss,1.80,2013,6.40,(2CZ)
4xy8,1.70,2015,6.40,(43U)
5g61,2.40,2017,6.40,(FNY)
5hz8,1.12,2016,6.40,(65Z)
5l8y,2.14,2018,6.40,(CVA)
5uk8,2.50,2017,6.40,(8DV)
6f92,1.90,2018,6.40,(MVL)
6g5u,1.70,2019,6.40,(ENN)
6gvz,1.54,2018,6.40,(CHO)
6idb,2.50,2019,6.40,(3-mer)
1syh,1.80,2005,6.41,(CPW)
2cgf,2.20,2006,6.41,(P2N)
2qnp,1.41,2008,6.41,(QN2)
2xxx,2.10,2011,6.41,(GLU)
2zdm,1.93,2008,6.41,(46U)
3k5x,1.40,2010,6.41,(P8D)
3r17,1.70,2011,6.41,(5UM)
5ihh,1.35,2016,6.41,(6B5)
5jxn,1.38,2016,6.41,(6NN)
5v79,2.25,2017,6.41,(8Y4)
6i65,1.50,2019,6.41,(H3Z)
6py0,2.20,2019,6.41,(RTL)
1o5a,1.68,2004,6.42,(696)
2j78,1.65,2006,6.42,(GOX)
3d2e,2.35,2008,6.42,(ATP)
4ufh,2.16,2015,6.42,(GIF)
5x62,2.20,2017,6.42,(SAH)
6eiq,2.30,2018,6.42,(B6Z)
6j1l,2.30,2019,6.42,(B6L)
1fh9,1.72,2000,6.43,(2-mer)
2b07,2.10,2005,6.43,(598)
2fqo,1.87,2006,6.43,(HYI)
4d3h,2.00,2014,6.43,(2BA)
4ge1,2.15,2013,6.43,(TSS)
4q4r,1.45,2014,6.43,(SQO)
6eeo,1.72,2018,6.43,(J6V)
6g9u,1.75,2018,6.43,(ETK)
6m8q,2.49,2019,6.43,(JBG)
6rtw,1.90,2019,6.43,(Y01)
2jh5,2.50,2007,6.44,(895)
2pvm,2.00,2008,6.44,(P29)
3pfp,2.35,2011,6.44,(035-036)
4da5,2.40,2013,6.44,(0H7)
4ea2,2.05,2012,6.44,(RWZ)
4jfk,1.15,2013,6.44,(JFK)
4q3u,2.50,2014,6.44,(NNH)
5ivy,1.45,2016,6.44,(6EO)
5ny1,1.10,2018,6.44,(9E5)
5w44,2.10,2018,6.44,(GY6)
6hqy,2.50,2018,6.44,(GKW)
6qr3,1.61,2019,6.44,(JE8)
3qw5,1.60,2012,6.45,(5-mer)
4kwo,1.32,2014,6.45,(1UD)
5fut,1.60,2016,6.45,(PQ7)
5jss,1.19,2016,6.45,(6NG)
1m2r,1.70,2003,6.46,(MNY)
1r5y,1.20,2004,6.46,(DQU)
1ro6,2.00,2004,6.46,(ROL)
2xd9,1.95,2010,6.46,(XD9)
2xdx,2.42,2010,6.46,(WOE)
3o8p,2.10,2010,6.46,(BMU)
3pd8,2.48,2010,6.46,(HA7)
4m0y,1.70,2014,6.46,(M0Y)
4n07,1.87,2013,6.46,(2J9)
4ymh,1.88,2015,6.46,(SAH)
5dbm,1.86,2016,6.46,(58N)
5efj,1.73,2016,6.46,(4-mer)
5iwg,1.66,2016,6.46,(IWX)
5uc4,2.05,2018,6.46,(83S)
5vb5,2.23,2017,6.46,(92A)
6epy,2.04,2018,6.46,(RAF)
6qi7,2.50,2019,6.46,(PLM)
1j01,2.00,2002,6.47,(XIL)
3cm2,2.50,2008,6.47,(X23)
3s78,1.98,2011,6.47,(EVJ)
3tfp,2.00,2012,6.47,(03L)
4mhy,1.38,2014,6.47,(PBD)
4mq6,1.70,2014,6.47,(29W)
4rd3,1.69,2015,6.47,(GDP)
4zji,1.99,2015,6.47,(4OQ)
5j8u,1.75,2017,6.47,(6DL)
5mes,2.24,2017,6.47,(7LT)
6b4l,2.25,2017,6.47,(CJY)
6np3,1.15,2019,6.47,(LLL)
1f4g,1.75,2000,6.48,(TP4)
1gpn,2.35,2002,6.48,(HUB)
1rpj,1.80,1999,6.48,(ALL)
2wnj,1.80,2009,6.48,(ZY7)
3g3r,2.00,2009,6.48,(ANP)
3gsm,2.40,2009,6.48,(VPU)
4e67,2.10,2012,6.48,(8-mer)
4q3t,2.14,2014,6.48,(HAR)
5yyf,1.90,2018,6.48,(7-mer)
6fe0,1.91,2018,6.48,(V90)
6ql1,1.42,2019,6.48,(V50)
1dl7,2.35,2000,6.49,(NCH)
3bft,2.27,2008,6.49,(S2P)
3mho,1.15,2010,6.49,(J43)
3nw3,2.50,2010,6.49,(MU2)
3s0b,1.22,2011,6.49,(FNA)
4hw3,2.40,2013,6.49,(19G)
5cu4,1.56,2016,6.49,(54S)
5i2f,1.25,2016,6.49,(BS5)
5nw2,2.20,2017,6.49,(9B8)
5tuo,2.50,2017,6.49,(1SA)
5vd0,2.13,2017,6.49,(8X7)
6ftw,2.16,2019,6.49,(E6Z)
6q54,1.40,2019,6.49,(HJ8)
2weg,1.10,2009,6.50,(FBV)
3bwj,2.30,2009,6.50,(ARX)
4kzu,2.10,2013,6.50,(A73)
4mme,2.50,2013,6.50,(29Q)
4oc0,1.85,2014,6.50,(2R7)
4yxi,.96,2016,6.50,(4J8)
6o5t,2.10,2019,6.50,(L8J)
6rfw,2.18,2019,6.50,(K1Q)
2usn,2.20,1998,6.51,(IN8)
2xjj,1.90,2010,6.51,(L81)
3cj4,2.07,2008,6.51,(SX5)
3hf8,1.85,2010,6.51,(ML0)
3wmc,2.10,2014,6.51,(NF6)
4zbi,2.50,2015,6.51,(4M6)
5jvi,1.12,2016,6.51,(6QC)
5t8o,2.41,2017,6.51,(76Z)
6faf,1.99,2018,6.51,(D3B)
6if0,1.80,2019,6.51,(A59)
6nyv,2.43,2019,6.51,(LBD)
1alw,2.03,1998,6.52,(ISA)
1g74,1.70,2003,6.52,(OLA)
1k9s,2.00,2001,6.52,(FM2)
1qy1,1.70,2004,6.52,(PRZ)
1zhy,1.60,2005,6.52,(CLR)
2h4g,2.50,2006,6.52,(694)
2nn7,1.85,2007,6.52,(M29)
2nt7,2.10,2007,6.52,(902)
2oxy,1.81,2007,6.52,(K17)
2zft,1.76,2009,6.52,(10U)
3bva,1.05,2008,6.52,(2NC)
3dx3,1.42,2009,6.52,(YTB)
3hzv,1.90,2010,6.52,(KDA&KDO)
3o9p,2.07,2011,6.52,(MHI)
3uo4,2.45,2012,6.52,(0C0)
4dko,1.98,2012,6.52,(0LM)
4dkr,1.80,2012,6.52,(0LJ)
4uj1,1.77,2016,6.52,(NVX)
4zeb,1.89,2015,6.52,(AGR)
5g60,1.99,2017,6.52,(NYT)
5nw0,2.30,2017,6.52,(9BK)
6iez,1.90,2019,6.52,(A50)
2p7g,2.10,2008,6.53,(2OH)
3wtj,2.24,2015,6.53,(TH4)
1drv,2.20,1997,6.54,(A3D)
1o3l,1.40,2003,6.54,(678)
2h21,2.45,2006,6.54,(SAM)
2zfs,1.51,2009,6.54,(12U)
3d0b,1.74,2008,6.54,(SNX)
3fuz,1.65,2010,6.54,(GLU)
3jvs,1.90,2009,6.54,(AGY)
3sr4,2.50,2011,6.54,(TT8)
4a4v,2.00,2012,6.54,(YFD)
4aqh,2.40,2012,6.54,(TB7)
4ht2,1.45,2013,6.54,(V50)
4leq,1.41,2014,6.54,(1WK)
4pv5,2.30,2015,6.54,(CBW)
4rfr,1.50,2016,6.54,(RHN)
4uac,1.60,2014,6.54,(ACR)
4w9k,2.10,2014,6.54,(3JO)
5cqu,2.35,2015,6.54,(JRJ)
6gfs,2.00,2018,6.54,(F15)
6u8o,1.60,2019,6.54,(Q1G)
1dhj,1.80,1994,6.55,(MTX)
1hmr,1.40,1995,6.55,(ELA)
1hp5,2.10,2001,6.55,(NGT)
1n4h,2.10,2003,6.55,(REA)
1yc4,1.81,2005,6.55,(43P)
1yda,2.10,1995,6.55,(AZM)
2bok,1.64,2005,6.55,(784)
2xxr,1.60,2011,6.55,(GLU)
3s0e,1.60,2011,6.55,(EOL)
4iue,2.38,2013,6.55,(AJ4)
4og3,2.01,2014,6.55,(2S6)
5sym,1.55,2016,6.55,(71Q)
5tpx,2.10,2017,6.55,(7H7)
6e5t,1.55,2019,6.55,(HVJ)
2zq2,1.40,2009,6.56,(13U)
4db7,2.50,2012,6.56,(Z25)
4lbu,1.17,2014,6.56,(1WJ)
5oaj,2.47,2018,6.56,(TKT)
6f3b,1.40,2018,6.56,(CJK)
1sld,2.50,1996,6.57,(6-mer)
2fqy,1.90,2006,6.57,(ADN)
2hzl,1.40,2007,6.57,(PYR)
2pwc,1.78,2008,6.57,(G3G)
3ove,1.82,2011,6.57,(5-mer)
3qox,2.30,2011,6.57,(SAH)
3tfn,2.07,2012,6.57,(2CJ)
4fs4,1.74,2012,6.57,(H24)
5er2,1.80,1991,6.57,(0EK)
5evz,1.85,2016,6.57,(ADP)
5g1a,1.42,2017,6.57,(7H1)
5vcy,1.56,2017,6.57,(DB8)
6ecz,2.21,2018,6.57,(J4D)
1k1i,2.20,2001,6.58,(FD1)
2p7z,2.50,2008,6.58,(OHT)
3pb9,1.12,2011,6.58,(1BN)
4cd4,1.20,2014,6.58,(2-mer)
1b58,1.80,1999,6.59,(3-mer)
1fiv,2.00,1995,6.59,(5-mer)
1izi,2.15,2002,6.59,(Q50)
2e91,2.14,2007,6.59,(ZOL)
2pvh,2.20,2008,6.59,(P19)
2pwr,1.50,2008,6.59,(G4G)
3gs6,2.30,2009,6.59,(NP6)
3t8v,1.80,2011,6.59,(BTJ)
4qnb,2.00,2014,6.59,(1B0)
4xas,2.35,2015,6.59,(40H)
5ew0,1.30,2016,6.59,(3C7)
5l4i,1.45,2016,6.59,(6J3)
5vja,2.46,2018,6.59,(DUK)
6fag,1.79,2018,6.59,(EON)
1b38,2.00,1998,6.60,(ATP)
1g7g,2.20,2001,6.60,(INX)
1jzs,2.50,2001,6.60,(MRC)
2euk,1.85,2006,6.60,(3-mer)
2f7p,1.28,2006,6.60,(2SK)
2j4g,2.25,2007,6.60,(NB1)
2jdp,1.30,2007,6.60,(MFU)
2wly,2.40,2010,6.60,(2-mer)
3dln,1.91,2008,6.60,(GLU)
3ip6,1.40,2010,6.60,(PRO)
3lxe,1.90,2010,6.60,(TOR)
3v3q,2.22,2012,6.60,(TMY)
4dkq,1.89,2012,6.60,(0LK)
4h75,2.10,2012,6.60,(8-mer)
4mr6,1.67,2013,6.60,(1K0)
4oc1,1.75,2014,6.60,(2QS)
4x8o,2.10,2015,6.60,(AP5)
4zzd,2.35,2015,6.60,(RBF)
5i88,1.40,2016,6.60,(69G)
5l7e,1.86,2016,6.60,(6Q0)
5nw1,2.10,2017,6.60,(9BH)
5z7j,1.98,2018,6.60,(36J)
6d5g,1.92,2018,6.60,(FVD)
6eis,2.36,2018,6.60,(B6N)
6i17,1.56,2019,6.60,(GZW)
5o87,2.20,2018,6.61,(NCT)
6d19,1.45,2019,6.61,(YKG)
6fsy,1.34,2018,6.61,(E5Q)
1afk,1.70,1998,6.62,(PAP)
1ii5,1.60,2001,6.62,(GLU)
2ews,2.05,2006,6.62,(ANP)
2j7b,1.87,2006,6.62,(NTZ)
2jgs,1.90,2008,6.62,(BTN)
2vwc,2.40,2008,6.62,(BC2)
3ljo,1.50,2010,6.62,(11U)
3ozp,2.00,2011,6.62,(OAN)
4btk,2.00,2013,6.62,(DTQ)
4er1,2.00,1991,6.62,(0ZP)
4gfo,2.30,2013,6.62,(0X2)
4mpn,1.75,2014,6.62,(PV0)
4rd0,1.71,2015,6.62,(GDP)
6eqv,1.90,2018,6.62,(5-mer)
6g38,1.47,2018,6.62,(TBN)
2x7t,1.89,2010,6.63,(WZB)
2yfe,2.00,2012,6.63,(YFE)
3f8f,2.20,2008,6.63,(DM1)
4k77,2.40,2013,6.63,(1Q4)
4lyw,1.95,2014,6.63,(21Q)
4xip,1.70,2015,6.63,(40W)
5jt9,1.26,2016,6.63,(7AF)
6b97,1.76,2017,6.63,(CZY)
6elp,1.85,2018,6.63,(BA8)
1lcp,1.65,1995,6.64,(PLU)
1sln,2.27,1996,6.64,(INH)
2b1g,2.10,2006,6.64,(13A)
2d3z,1.80,2006,6.64,(FIH)
2za0,1.70,2008,6.64,(MGI)
3b26,2.10,2011,6.64,(B2L)
3fee,1.56,2009,6.64,(QUS)
5i2e,1.60,2016,6.64,(67D)
5ko1,2.16,2016,6.64,(6UY)
5nk8,1.76,2017,6.64,(90Z)
2j75,1.85,2006,6.65,(NOY)
3mzc,1.50,2011,6.65,(S6I)
4yha,2.20,2015,6.65,(MZM)
6cwn,1.53,2018,6.65,(6LA)
1a4r,2.50,1999,6.66,(GNH)
1cps,2.25,1993,6.66,(CPM)
1elc,1.75,1994,6.66,(0Z3)
1pxp,2.30,2004,6.66,(CK8)
1wur,1.82,2005,6.66,(8DG)
2xj7,2.00,2010,6.66,(GC2)
2yz3,2.30,2008,6.66,(M5P)
3pwd,2.20,2011,6.66,(CZ0)
3zj6,2.40,2014,6.66,(VM2)
4v27,1.90,2014,6.66,(2-mer)
5cy9,1.55,2016,6.66,(E0A)
5nxi,1.16,2018,6.66,(9DE)
5wyx,2.40,2017,6.66,(CU8)
6dar,1.88,2018,6.66,(G2J)
6idg,2.00,2019,6.66,(2-mer)
3g19,1.85,2009,6.67,(3-mer)
5fho,2.30,2016,6.67,(5XN)
5op5,1.90,2017,6.67,(3FE)
6b1k,1.17,2018,6.67,(C9G)
6bbx,2.20,2018,6.67,(D77)
6plf,1.70,2019,6.67,(ONV)
1c5x,1.75,2000,6.68,(ESI)
1mai,1.90,1996,6.68,(I3P)
2fqw,1.71,2006,6.68,(NOS)
2iwx,1.50,2006,6.68,(M1S)
2qbs,2.10,2008,6.68,(024)
3o75,2.30,2011,6.68,(F1X)
3su1,1.40,2012,6.68,(TSV)
3zhx,2.00,2013,6.68,(FM6)
4ca8,1.99,2013,6.68,(3ES)
4ew2,1.60,2013,6.68,(DXY)
5o4f,2.10,2017,6.68,(8VE)
6ayi,2.09,2017,6.68,(C3G)
2jew,1.40,2007,6.69,(720)
2xn5,1.70,2011,6.69,(FUN)
5a6x,1.55,2016,6.69,(MFU)
5fs5,1.42,2016,6.69,(KGM)
5yhe,2.47,2018,6.69,(8UX)
5z66,1.80,2019,6.69,(VDM)
1b0h,1.90,1998,6.70,(3-mer)
1b3g,2.00,1998,6.70,(3-mer)
1eld,2.00,1995,6.70,(0Z0)
1f3e,1.85,2000,6.70,(DPZ)
1koj,1.90,2002,6.70,(PAN)
1nki,0.95,2004,6.70,(PPF)
2a5s,1.70,2005,6.70,(GLU)
2evl,2.20,2006,6.70,(3-mer)
2oxx,2.30,2007,6.70,(K22)
2py4,1.49,2007,6.70,(DUP)
3eko,1.55,2008,6.70,(PYU)
3hzk,2.15,2010,6.70,(KDA&KDO)
3mhi,1.70,2010,6.70,(J90)
3pck,2.13,1998,6.70,(NNO)
3pgu,1.70,2011,6.70,(OLA)
3t60,2.40,2012,6.70,(DUA)
3t64,1.65,2012,6.70,(DU3)
4ewn,1.90,2012,6.70,(0VR)
4f09,2.40,2012,6.70,(JAK)
4io2,1.37,2013,6.70,(GLU)
4jyc,2.20,2013,6.70,(GDP)
4jz1,1.90,2014,6.70,(F4D)
4m13,1.85,2014,6.70,(1E0)
4m14,1.55,2014,6.70,(QWS)
4o2p,2.10,2015,6.70,(11V)
5g17,1.51,2017,6.70,(6DK)
5g5v,1.80,2018,6.70,(8Z4)
5nvv,2.10,2017,6.70,(9BT)
6ebe,1.88,2018,6.70,(J3V)
6i67,1.75,2019,6.70,(H42)
6n9l,2.01,2019,6.70,(ADP)
6rfn,2.29,2019,6.70,(K3W)
2f94,1.94,2006,6.71,(BFQ)
4cd5,1.10,2014,6.71,(2-mer)
4pvy,2.05,2015,6.71,(JD1)
5odx,1.82,2018,6.71,(9RZ)
5op4,2.00,2017,6.71,(A0T)
5tt3,2.20,2017,6.71,(EZL)
6ghh,1.90,2018,6.71,(TDA)
1rbp,2.00,1991,6.72,(RTL)
2jdu,1.50,2007,6.72,(MFU)
2vpn,1.55,2008,6.72,(4CS)
2xc0,2.05,2010,6.72,(8NC)
3aqt,2.50,2011,6.72,(RCO)
3gst,1.90,1993,6.72,(GPR)
3l4v,2.10,2010,6.72,(KTL)
3l4z,2.00,2010,6.72,(SSD)
4djv,1.73,2012,6.72,(0KM)
4flp,2.23,2012,6.72,(JQ1)
4i74,1.68,2013,6.72,(MBY)
4o0a,1.20,2014,6.72,(2P9)
5o58,1.55,2017,6.72,(2-mer)
5vb7,2.34,2017,6.72,(921)
5wa5,1.17,2018,6.72,(4K4)
5ya5,1.89,2018,6.72,(6TD)
5zhl,2.25,2019,6.72,(9D0)
6fo5,.95,2018,6.72,(DZH)
6qr9,2.42,2019,6.72,(JEE)
1wvj,1.75,2005,6.73,(IBC)
4pum,1.93,2014,6.73,(2WU)
4r5b,1.50,2014,6.73,(3J4)
4w9h,2.10,2014,6.73,(3JF)
5am6,1.96,2015,6.73,(38O)
5ia0,1.95,2016,6.73,(A5B)
5js3,1.16,2016,6.73,(6MG)
1add,2.40,1994,6.74,(1DA)
1usi,1.80,2003,6.74,(PHE)
2x91,1.98,2010,6.74,(LPR)
2zc9,1.58,2008,6.74,(22U)
2zgx,1.80,2008,6.74,(29U)
3dgo,2.50,2009,6.74,(ATP)
3fzy,1.95,2009,6.74,(IHP)
3m67,1.80,2010,6.74,(E36)
3oim,1.45,2011,6.74,(VZ5)
4ca6,1.91,2013,6.74,(3EF)
4ew3,1.70,2013,6.74,(DXZ)
4f9y,1.85,2013,6.74,(LM3)
4lxz,1.85,2013,6.74,(SHH)
5j27,1.70,2017,6.74,(6FF)
5nk2,1.65,2017,6.74,(8ZZ)
5za9,1.62,2018,6.74,(50I)
6i66,1.60,2019,6.74,(H4Q)
6i8y,1.52,2018,6.74,(2OD)
6qqz,1.70,2019,6.74,(JEB)
3ikd,2.00,2009,6.75,(J9Z)
4cwt,1.90,2014,6.75,(IK9)
6faa,1.97,2018,6.75,(ADP)
2on6,2.50,2007,6.76,(IMH)
4pvx,2.18,2015,6.76,(YS1)
5wa9,1.15,2017,6.76,(9ZD)
6f9v,1.69,2018,6.76,(D0Z)
1o30,1.55,2003,6.77,(693)
1o3j,1.40,2003,6.77,(334)
1om1,1.68,2004,6.77,(IQA)
1ony,2.15,2003,6.77,(588)
1qb1,1.80,2000,6.77,(974)
3fas,1.40,2008,6.77,(GLU)
3fvn,1.50,2010,6.77,(9DX)
3m40,1.60,2010,6.77,(J45)
4cwp,1.95,2014,6.77,(TV2)
4loi,1.89,2013,6.77,(1YC)
4x48,1.89,2015,6.77,(XPF)
5ayt,1.40,2016,6.77,(L6Y)
5fh8,1.55,2016,6.77,(5XK)
5nvw,2.20,2017,6.77,(9BW)
6g2o,1.81,2019,6.77,(EJE)
3gcu,2.10,2009,6.78,(R48)
5yh8,2.12,2018,6.78,(8UX)
5zaf,1.65,2018,6.78,(28I)
6g7a,1.42,2019,6.78,(EOQ)
6sbt,2.30,2019,6.78,(L5H)
2rcb,1.62,2008,6.79,(DSN)
3su0,1.16,2012,6.79,(TSV)
4ogj,1.65,2014,6.79,(2TA)
5y94,2.00,2018,6.79,(8QC)
6s4n,1.90,2019,6.79,(KUW)
1fl3,2.45,2000,6.80,(SPB)
1nq7,1.50,2003,6.80,(ARL)
1p1n,1.60,2003,6.80,(KAI)
2xhm,1.96,2010,6.80,(K26)
3c88,1.60,2008,6.80,(5-mer)
3fx6,1.85,2009,6.80,(BPX)
3s2v,2.50,2011,6.80,(3HU)
5j8m,1.90,2017,6.80,(6DL)
5nk6,1.27,2017,6.80,(90W)
6i62,1.65,2019,6.80,(27N)
6np2,1.20,2019,6.80,(SIS)
2uwp,1.75,2007,6.81,(894)
5zae,1.73,2018,6.81,(EAU)
1drk,2.00,1995,6.82,(RIP)
1fhd,1.90,2000,6.82,(2-mer)
1jeu,1.25,1997,6.82,(3-mer)
1k1n,2.00,2001,6.82,(CCR)
1lrh,1.90,2002,6.82,(NLA)
1o38,1.38,2003,6.82,(653)
1uwf,1.69,2005,6.82,(DEG)
2b1i,2.02,2006,6.82,(93A)
2c94,1.90,2006,6.82,(TSF)
2oxd,2.30,2007,6.82,(K32)
2pym,1.90,2008,6.82,(1UN)
2rfh,1.70,2008,6.82,(23N)
2v8w,2.30,2007,6.82,(MGO)
2xyd,2.15,2011,6.82,(3ES)
2zq0,1.60,2008,6.82,(ACR)
3dx2,1.40,2009,6.82,(MZB)
3m3x,1.68,2010,6.82,(JS7)
3s75,1.50,2011,6.82,(EVG)
4nue,1.30,2014,6.82,(NUE)
4qy3,1.50,2014,6.82,(3G1)
5exw,1.90,2016,6.82,(7DT)
5vcv,1.92,2017,6.82,(1N1)
2xnb,1.85,2010,6.83,(Y8L)
6e7r,2.10,2019,6.83,(HYS)
1bhx,2.30,1998,6.84,(R56)
2y5g,1.29,2011,6.84,(FJD)
3ewj,1.80,2008,6.84,(642)
4kn1,2.30,2013,6.84,(04J)
5cep,1.99,2015,6.84,(50E)
6csr,1.62,2018,6.84,(BHO)
1ele,2.00,1995,6.85,(0QN)
1g30,2.00,2001,6.85,(T87)
1lkk,1.00,1996,6.85,(4-mer)
1os5,2.20,2004,6.85,(NH1)
1q72,1.70,2003,6.85,(COC)
1qyg,1.81,2003,6.85,(BCG)
1xk9,2.10,2005,6.85,(P34)
1xt8,2.00,2005,6.85,(CYS)
3n76,1.90,2011,6.85,(CA2)
3pn4,1.90,2011,6.85,(BB2)
3s8o,1.85,2011,6.85,(5-mer)
4k3h,2.45,2013,6.85,(1OM)
5f1v,2.20,2016,6.85,(3VN)
5ie1,2.30,2016,6.85,(6BS)
5j64,1.38,2017,6.85,(6G7)
6d5e,1.75,2018,6.85,(FVG)
6fnj,1.24,2018,6.85,(DWT)
3aid,2.50,1997,6.86,(ARQ)
3pyy,1.85,2011,6.86,(3YY)
5dx4,2.30,2016,6.86,(E0C)
5fh7,1.47,2016,6.86,(5XL)
1cgl,2.40,1995,6.87,(0ED)
2zcr,1.92,2008,6.87,(B69)
3tmk,2.00,1999,6.87,(T5A)
4mhz,1.95,2014,6.87,(PBD)
4re4,2.29,2015,6.87,(IFM)
4rvr,1.98,2014,6.87,(3WQ)
5j0d,1.05,2016,6.87,(6F9)
5nih,1.30,2017,6.87,(8VE)
5vr8,2.00,2017,6.87,(UDX)
6gl9,1.70,2018,6.87,(F3W)
1xka,2.30,1999,6.88,(4PP)
3oe5,1.52,2011,6.88,(611)
4bco,2.05,2013,6.88,(T6Q)
5z99,1.49,2018,6.88,(SLB)
6el5,1.67,2018,6.88,(PU1)
1b3f,1.80,1998,6.89,(3-mer)
1fh8,1.95,2000,6.89,(2-mer)
1jev,1.30,1997,6.89,(3-mer)
1sb1,1.90,2004,6.89,(165)
1uz1,2.00,2004,6.89,(IFL)
2bfq,1.50,2005,6.89,(AR6)
2dri,1.60,1995,6.89,(RIP)
2e92,2.31,2007,6.89,(M0N)
2f34,1.74,2006,6.89,(UBA)
2r3w,1.92,2008,6.89,(G3G)
2vk2,1.20,2009,6.89,(GZL)
3hu3,2.20,2010,6.89,(AGS)
3jya,2.10,2009,6.89,(LWG)
3l4x,1.90,2010,6.89,(NR3)
3r4n,2.00,2011,6.89,(FU5)
4g4p,1.50,2013,6.89,(GLN)
4x8v,2.50,2015,6.89,(3Z9)
6e7t,2.31,2019,6.89,(HYY)
6glb,2.00,2018,6.89,(F48)
1k1l,2.50,2001,6.90,(FD3)
3cow,1.80,2008,6.90,(52H)
3gbb,2.10,2009,6.90,(MS8)
3uyr,1.70,2012,6.90,(8-mer)
4zzx,1.65,2015,6.90,(FSU)
3evd,1.50,2009,6.91,(GTP)
4bcm,2.45,2013,6.91,(T7Z)
5cqt,1.60,2016,6.91,(EB3)
1a9m,2.30,1998,6.92,(U0E)
1k6v,2.00,2002,6.92,(XN2)
1o2j,1.65,2003,6.92,(656)
1pkx,1.90,2004,6.92,(XMP)
1swr,1.90,1999,6.92,(BTN)
2d3u,2.00,2006,6.92,(CCT)
2uy0,1.76,2008,6.92,(HV1)
3bl0,1.90,2008,6.92,(BL0)
3lir,1.90,2010,6.92,(EEC)
3r1v,2.19,2011,6.92,(AZB)
3uex,2.10,2011,6.92,(STE)
3wto,2.25,2015,6.92,(N2Y)
4qtl,1.80,2015,6.92,(WWO)
5d45,1.65,2016,6.92,(57P)
5ymx,1.35,2018,6.92,(GDP)
6c9v,1.70,2019,6.92,(ERS)
6d5h,1.80,2018,6.92,(FV7)
6e7u,2.27,2019,6.92,(HX7)
6qr0,1.59,2019,6.92,(JFB)
2weo,1.40,2009,6.93,(FBW)
4f9w,2.00,2013,6.94,(LM4)
4rn4,1.53,2015,6.94,(3T7)
4xir,1.70,2015,6.94,(40X)
1tcx,2.30,1996,6.95,(IM1)
4k9y,2.00,2013,6.95,(K9Y)
4q4s,1.25,2014,6.95,(S98)
1atr,2.34,1993,6.96,(ADP)
1c5c,1.61,2000,6.96,(TK4)
1gvw,1.00,2002,6.96,(0EM)
1oyq,1.90,2003,6.96,(T87)
1x8j,2.35,2005,6.96,(AOI)
3exe,1.98,2008,6.96,(TPP)
3pn1,2.00,2011,6.96,(IVH)
4cg8,1.75,2014,6.96,(G8S)
4i54,2.50,2013,6.96,(1C1)
4jyb,2.10,2013,6.96,(GNP)
4loh,2.25,2013,6.96,(1SY)
4rpn,2.27,2014,6.96,(PCI)
5cst,1.78,2015,6.96,(CDP)
5yqx,1.82,2018,6.96,(E0K)
6pi5,1.67,2019,6.96,(GUN)
3t84,2.00,2011,6.97,(SG6)
4nj9,1.95,2014,6.97,(2M9)
